Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID
wife,Bennet,Bennet,Q0003,Q0003
wife,Bingley,Bingley,N/A,N/A
daughter,Bingley,Bingley,N/A,N/A
mother,Bennet,Long,Q0003,N/A
daughters,Bennet,Bennet,Q0003,Q0003
brother,Bingley,Hurst,N/A,N/A
friend,Bingley,Darcy,N/A,Q0002
friends,Elizabeth,Elizabeth,Q0001,Q0001
wife,Bennet,Bennet,Q0003,Q0003
husband,King,Lizzy,N/A,N/A
sister,Jane,Jane,Q0005,Q0005
brother,Bingley,Bingley,N/A,N/A
sister,Bingley,Bingley,N/A,N/A
brother,Bingley,Hurst,N/A,N/A
sister,Hurst,Bennet,N/A,Q0003
sister,Hurst,Hurst,N/A,N/A
sister,Hurst,Darcy,N/A,Q0002
mother,Jane,Lizzy,Q0005,N/A
sister,Elizabeth,Jane,Q0001,Q0005
brother,Elizabeth,Elizabeth,Q0001,Q0001
friend,Jane,"Miss
Lucas",Q0005,N/A
sister,Bingley,Jane,N/A,Q0005
husband,Jane,Meryton,Q0005,N/A
husband,Jane,Jane,Q0005,Q0005
husband,Jane,Jane,Q0005,Q0005
sister,Bingley,Elizabeth,N/A,Q0001
friend,Elizabeth,Elizabeth,Q0001,Q0001
friend,Elizabeth,Elizabeth,Q0001,Q0001
friend,Elizabeth,Darcy,Q0001,Q0002
friend,Darcy,Eliza,Q0002,N/A
friend,Darcy,William,Q0002,Q0012
daughters,Bennet,Bennet,Q0003,Q0003
father,lady,Meryton,N/A,N/A
father,Philips,Philips,N/A,N/A
daughter,Bennet,Jane,Q0003,Q0005
mother,Jane,Jane,Q0005,Q0005
daughter,Elizabeth,Bingley,Q0001,N/A
brother,Jane,Jane,Q0005,Q0005
sister,Bingley,Elizabeth,N/A,Q0001
father,Bingley,Darcy,N/A,Q0002
sister,Elizabeth,Elizabeth,Q0001,Q0001
brother,Elizabeth,Jones,Q0001,N/A
sister,Bingley,CHAPTER IX,N/A,N/A
sister,Elizabeth,Elizabeth,Q0001,Q0001
mother,Elizabeth,Jane,Q0001,Q0005
mother,Bingley,Jane,N/A,Q0005
mother,Bingley,Bennet,N/A,Q0003
friends,Bennet,Bennet,Q0003,Q0003
sister,Elizabeth,Darcy,Q0001,Q0002
sister,Elizabeth,Charlotte Lucas,Q0001,N/A
brother,Jane,Gardiner,Q0005,N/A
sister,Jane,Gardiner,Q0005,N/A
mother,Elizabeth,Elizabeth,Q0001,Q0001
daughters,Bennet,Bennet,Q0003,Q0003
mother,Lydia,Lydia,Q0008,Q0008
daughters,Bennet,Elizabeth,Q0003,Q0001
sister,Hurst,Elizabeth,N/A,Q0001
friend,Bingley,Jane,N/A,Q0005
sister,Elizabeth,Elizabeth,Q0001,Q0001
friends,Jane,Elizabeth,Q0005,Q0001
brother,Bingley,Bennet,N/A,Q0003
brother,Bingley,Charles,N/A,Q0009
brother,Bingley,Darcy,N/A,Q0002
sister,Bingley,Darcy,N/A,Q0002
daughters,Bennet,Jane,Q0003,Q0005
daughters,Bennet,Bennet,Q0003,Q0003
sister,Bingley,Bennet,N/A,Q0003
daughters,Bennet,Bennet,Q0003,Q0003
sister,Bingley,Bingley,N/A,N/A
father,Longbourn,Longbourn,N/A,N/A
mother,Catherine Lydia's,Collins,N/A,Q0012
daughters,Bennet,Bennet,Q0003,Q0003
daughter,Catherine,Lady Catherine's,Q0007,N/A
daughters,Lydia,Lydia,Q0008,Q0008
father,Bennet,Bennet,Q0003,Q0003
father,Bennet,Bennet,Q0003,Q0003
wife,Bennet,Bennet,Q0003,Q0003
father,Bennet,Bennet,Q0003,Q0003
wife,Bennet,Bennet,Q0003,Q0003
daughters,Bennet,Bennet,Q0003,Q0003
daughter,Bennet,Bennet,Q0003,Q0003
daughters,Bennet,Bennet,Q0003,Q0003
sister,Meryton,Mary,N/A,Q0006
daughters,Collins,Bennet,Q0012,Q0003
daughters,Bennet,Collins,Q0003,Q0012
friend,Denny,Wickham,N/A,N/A
husband,Philipses,Wickham,N/A,N/A
husband,Collins,Bennet,Q0012,Q0003
daughter,"Lady
Catherine",Bennet,Q0013,Q0003
daughter,Catherine,Bennet,Q0007,Q0003
daughter,Catherine,CHAPTER XVI,Q0007,N/A
friend,Darcy,Darcy,Q0002,Q0002
friend,Denny,Meryton,N/A,N/A
son,Darcy,Darcy,Q0002,Q0002
son,Elizabeth,Darcy,Q0001,Q0002
