Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,Mode,Source
husband,Mrs Bennet,Charles Bingley,Q0006,Q0004,sentence,main1
friend,Mr Hurst,Fitzwilliam Darcy,Q0021,Q0001,sentence,main1
sister,Elizabeth Bennet,Jane Bennet,Q0002,Q0003,sentence,main1
sister,Charles Bingley,Elizabeth Bennet,Q0004,Q0002,sentence,main1
friend,Charlotte Lucas,Elizabeth Bennet,Q0011,Q0002,sentence,main1
aunt,Lydia Bennet,Colonel Forster,Q0007,N/A,sentence,main1
daughter,Mrs Bennet,Jane Bennet,Q0006,Q0003,sentence,main1
daughter,Elizabeth Bennet,Charles Bingley,Q0002,Q0004,sentence,main1
sister,Fitzwilliam Darcy,Elizabeth Bennet,Q0001,Q0002,sentence,main1
father,Caroline Bingley,Fitzwilliam Darcy,Q0016,Q0001,sentence,main1
sister,Elizabeth Bennet,Charles Bingley,Q0002,Q0004,sentence,main1
mother,Mrs Bennet,Jane Bennet,Q0006,Q0003,sentence,main1
mother,Elizabeth Bennet,Charlotte Lucas,Q0002,Q0011,sentence,main1
sister,Louisa Hurst,Elizabeth Bennet,Q0020,Q0002,sentence,main1
friend,Caroline Bingley,Jane Bennet,Q0016,Q0003,sentence,main1
sister,Elizabeth Bennet,Elizabeth Bennet,Q0002,Q0002,sentence,main1
sister,Charles Bingley,Elizabeth Bennet,Q0004,Q0002,sentence,main1
uncle,Lydia Bennet,Richard,Q0007,N/A,sentence,main1
cousin,William Collins,John Bennet,Q0012,Q0005,sentence,main1
sister,Meryton,Mary Bennet,N/A,Q0008,sentence,main1
friend,Mr. Denny,George Wickham,N/A,Q0010,sentence,main1
aunt,Philipses,George Wickham,N/A,Q0010,sentence,main1
husband,Philipses,George Wickham,N/A,Q0010,sentence,main1
friend,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,sentence,main1
father,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,sentence,main1
father,Fitzwilliam Darcy,Fitzwilliam Darcy,Q0001,Q0001,sentence,main1
cousin,William Collins,Elizabeth Bennet,Q0012,Q0002,sentence,main1
aunt,Lady Anne Darcy,Fitzwilliam Darcy,N/A,Q0001,sentence,main1
daughter,Mrs Bennet,Charles Bingley,Q0006,Q0004,sentence,main1
brother,Jane Bennet,Elizabeth Bennet,Q0003,Q0002,sentence,main1
cousin,Elizabeth Bennet,Jane Bennet,Q0002,Q0003,sentence,main1
friend,Fitzwilliam Darcy,Mr. Denny,Q0001,N/A,sentence,main1
sister,Elizabeth Bennet,Charles Bingley,Q0002,Q0004,sentence,main1
