Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID
wife,Bennet,Long,Q0003,N/A
wife,Bennet,Bingley,Q0003,N/A
daughters,Bingley,William,N/A,Q0012
friends,Bennet,Bennet,Q0003,Q0003
wife,Bingley,Bingley,N/A,N/A
mother,Bingley,Elizabeth,N/A,Q0001
daughters,Bennet,Kitty,Q0003,Q0007
mother,Lizzy,Long,N/A,N/A
father,Long,Bennet,N/A,Q0003
wife,Bingley,Bennet,N/A,Q0003
wife,Bennet,Lydia,Q0003,Q0008
daughters,Bennet,Bingley,Q0003,N/A
daughters,Bingley,Bennet,N/A,Q0003
father,Bennet,Bennet,Q0003,Q0003
husband,Bingley,Bingley,N/A,N/A
friend,Hurst,Darcy,N/A,Q0002
friend,Bingley,Bingley,N/A,N/A
daughters,Bennet,Elizabeth Bennet,Q0003,N/A
friend,Bingley,Bingley,N/A,N/A
friends,Elizabeth,Bennet,Q0001,Q0003
mother,Jane,Elizabeth,Q0005,Q0001
wife,Bennet,Bennet,Q0003,Q0003
husband,Lizzy,Bennet,N/A,Q0003
sister,Bingley,Elizabeth,N/A,Q0001
brother,Bingley,Elizabeth,N/A,Q0001
father,Bingley,Bingley,N/A,N/A
friend,Darcy,Bingley,Q0002,N/A
sister,Hurst,Bennet,N/A,Q0003
friend,Elizabeth,Lucases,Q0001,N/A
friend,Darcy,Lizzy,Q0002,N/A
mother,Lizzy,Miss Lucas,N/A,N/A
mother,Bingley,Jane,N/A,Q0005
sister,Elizabeth,Jane,Q0001,Q0005
friend,"Jane
united","Miss
Lucas",N/A,N/A
sister,Bingley,Eliza,N/A,N/A
husband,Elizabeth,Jane,Q0001,Q0005
sister,Bingley,Elizabeth,N/A,Q0001
friends,Darcy,William Lucas's,Q0002,N/A
friend,Lucas,Elizabeth,N/A,Q0001
sister,Darcy,Mary,Q0002,Q0006
friend,William,Bingley,Q0012,N/A
daughters,Bennet,Meryton,Q0003,N/A
father,Philips,Meryton,N/A,N/A
mother,Bingley,Bennet,N/A,Q0003
daughters,Bennet,Bennet,Q0003,Q0003
daughter,Bennet,Jane,Q0003,Q0005
brother,Louisa,CAROLINE BINGLEY,N/A,N/A
father,Meryton,Bennet,N/A,Q0003
mother,Elizabeth,Jane,Q0001,Q0005
mother,Jane,Jane,Q0005,Q0005
friends,Lizzy,Jones,N/A,N/A
daughter,Elizabeth,Bingley,Q0001,N/A
mother,Elizabeth,Jane,Q0001,Q0005
father,Lizzy,Mary,N/A,Q0006
brother,Elizabeth,Darcy,Q0001,Q0002
sister,Hurst,Bennet,N/A,Q0003
brother,Elizabeth,Jane,Q0001,Q0005
sister,Darcy,Elizabeth,Q0002,Q0001
sister,Louisa,Louisa,N/A,N/A
sister,Bingley,Bingley,N/A,N/A
father,Jane Bennet,Meryton,N/A,N/A
sister,Cheapside,Cheapside,N/A,N/A
friend,Bingley,Elizabeth,N/A,Q0001
sister,Elizabeth,Bingley,Q0001,N/A
father,Bingley,Darcy,N/A,Q0002
sister,Bingley,Darcy,N/A,Q0002
sister,Elizabeth,Bingley,Q0001,N/A
brother,Jones,Jones,N/A,N/A
sister,Elizabeth,Bingley,Q0001,N/A
mother,Longbourn,Jane,N/A,Q0005
daughter,Bennet,Jane,Q0003,Q0005
mother,Bingley,Bingley,N/A,N/A
sister,Bingley,Bingley,N/A,N/A
friends,Bennet,Bingley,Q0003,N/A
mother,Lizzy,Bingley,N/A,N/A
mother,Elizabeth,Darcy,Q0001,Q0002
sister,Elizabeth,Darcy,Q0001,Q0002
mother,Elizabeth,Charlotte Lucas,Q0001,N/A
daughters,Bingley,Lucases,N/A,N/A
brother,Jane,Gardiner,Q0005,N/A
mother,Elizabeth,Bennet,Q0001,Q0003
sister,Bingley,Bennet,N/A,Q0003
mother,Lydia,Bingley,Q0008,N/A
daughters,Bennet,Elizabeth,Q0003,Q0001
sister,Bingley,Hurst,N/A,N/A
sister,Darcy,Grantley,Q0002,N/A
friend,Bingley,Bingley,N/A,N/A
friend,Bingley,Darcy,N/A,Q0002
friend,Bennet,Darcy,Q0003,Q0002
friend,Bingley,Bingley,N/A,N/A
brother,Bingley,Bingley,N/A,N/A
sister,Hurst,Elizabeth,N/A,Q0001
friend,Bingley,Jane,N/A,Q0005
mother,Darcy,Elizabeth,Q0002,Q0001
sister,Elizabeth,Elizabeth,Q0001,Q0001
sister,Hurst,Darcy,N/A,Q0002
brother,Hurst,Bingley,N/A,N/A
brother,Darcy,Bennet,Q0002,Q0003
brother,Darcy,Caroline,Q0002,Q0010
sister,Hurst,Darcy,N/A,Q0002
mother,Elizabeth,Bennet,Q0001,Q0003
sister,Bingley,Elizabeth,N/A,Q0001
sister,Bingley,Bennet,N/A,Q0003
mother,Jane,Bennet,Q0005,Q0003
father,Jane,Jane,Q0005,Q0005
wife,Bennet,Charlotte Lucas,Q0003,N/A
husband,Bingley,Collins,N/A,Q0012
daughters,Bennet,Bennet,Q0003,Q0003
friends,Collins,Kent,Q0012,N/A
daughters,Lewis de Bourgh,Catherine,N/A,Q0007
mother,Lydia,Collins,Q0008,Q0012
daughters,Bennet,Bennet,Q0003,Q0003
daughter,Bennet,Bennet,Q0003,Q0003
daughter,Lady Catherine,Bennet,Q0013,Q0003
daughters,Bennet,Lydia,Q0003,Q0008
father,Collins,"Catherine de
Bourgh",Q0012,Q0013
wife,Longbourn,Bennet,N/A,Q0003
